opportunity_id,sales_agent,manager,regional_office,product,account,sector,office_location,engage_date,close_date,deal_stage,deal_value_proposed,close_value,revenue,employees,sales_cycle_days,is_won,is_closed,close_year_quarter
SYN010685,Gaston Sturm,Rocco Neubert,East,GTX Plus Pro,Account_0195,services,Japan,2024-02-12,2024-04-24,Lost,2706.13,0.0,153277.37,2044,72.0,0,1,2024Q2
SYN010686,Gaston Berthelot,Melvin Marxen,East,GTX Plus Pro,Account_0050,employment,United States,2024-09-27,2024-11-29,Won,2500.67,2554.57,204744.85,3379,63.0,1,1,2024Q4
SYN010687,Boris Hendon,Summer Sewald,East,MG Special,Account_0289,entertainment,Japan,2022-03-20,2022-05-29,Lost,3712.36,0.0,203780.85,3157,70.0,0,1,2022Q2
SYN010688,Boris Nicholson,Rocco Neubert,Central,GTK Pro,Account_0392,marketing,Japan,2024-12-26,2025-02-25,Lost,3541.32,0.0,229210.55,4145,61.0,0,1,2025Q1
SYN010689,Jonathan Everman,Melvin Marxen,West,MG Advanced,Account_0165,marketing,Australia,2022-08-25,,Engaging,2544.19,,101413.47,566,,0,0,
SYN010690,Marty Everman,Rocco Neubert,East,GTK 500,Account_0318,technology,United Kingdom,2024-10-05,2024-12-17,Lost,3805.81,0.0,199873.28,2767,73.0,0,1,2024Q4
SYN010691,Corliss Marconi,Rocco Neubert,East,GTX Plus Pro,Account_0431,telecommunications,United States,2024-01-24,2024-04-27,Lost,4096.74,0.0,196429.02,3385,94.0,0,1,2024Q2
SYN010692,Gaston Sturm,Rocco Neubert,Central,MG Special,Account_0470,finance,Germany,2024-02-09,,Engaging,4601.7,,205599.26,2863,,0,0,
SYN010693,Niesha Gauna,Dustin Brinkmann,West,MG Special,Account_0063,telecommunications,United States,2023-08-03,2023-11-09,Lost,3909.3,0.0,167432.66,2631,98.0,0,1,2023Q4
SYN010694,Zane Cordell,Dustin Brinkmann,Central,GTX Basic,Account_0187,entertainment,United States,2023-04-11,2023-06-22,Won,3598.38,3760.57,226970.99,3875,72.0,1,1,2023Q2
SYN010695,Wilburn Hillebrand,Summer Sewald,West,MG Special,Account_0037,medical,United Kingdom,2024-10-10,2025-02-06,Lost,4219.87,0.0,143419.97,1590,119.0,0,1,2025Q1
SYN010696,Kami Herrold,Cara Losch,Central,GTK Pro,Account_0231,retail,Germany,2024-01-07,2024-02-25,Lost,2364.98,0.0,178923.25,2466,49.0,0,1,2024Q1
SYN010697,Niesha Cordell,Rosalind Dwyer,Central,MG Special,Account_0343,employment,Japan,2025-06-26,2025-08-10,Won,2698.51,2665.6,283183.06,4659,45.0,1,1,2025Q3
SYN010698,Vernita Cordell,Cara Losch,Central,GTK Pro,Account_0332,telecommunications,Canada,2025-09-11,2025-12-08,Lost,4625.19,0.0,241859.92,4192,88.0,0,1,2025Q4
SYN010699,Gaston Grunwald,Rosalind Dwyer,Central,GTK 500,Account_0240,marketing,Australia,2025-08-21,2025-10-23,Lost,3359.89,0.0,265665.23,4555,63.0,0,1,2025Q4
SYN010700,Wilburn Hillebrand,Summer Sewald,West,GTX Plus Basic,Account_0080,services,Australia,2025-08-02,,Engaging,3069.87,,191312.01,2545,,0,0,
SYN010701,Gaston Purl,Melvin Marxen,Central,GTX Plus Basic,Account_0476,marketing,Australia,2025-07-20,2025-09-14,Lost,3419.49,0.0,268945.98,4258,56.0,0,1,2025Q3
SYN010702,Gaston Sturm,Rocco Neubert,Central,MG Special,Account_0003,retail,United Kingdom,2025-02-07,,Engaging,2945.81,,282711.54,4868,,0,0,
SYN010703,Gaston Grunwald,Rosalind Dwyer,East,GTX Plus Pro,Account_0440,finance,Japan,2025-12-04,2026-03-31,Lost,4441.9,0.0,213750.49,3589,117.0,0,1,2026Q1
SYN010704,Jonathan Marconi,Rocco Neubert,Central,GTK 500,Account_0403,marketing,United Kingdom,2022-07-06,,Engaging,2661.96,,209710.11,3382,,0,0,
SYN010705,Vernita Cordell,Cara Losch,East,GTX Plus Basic,Account_0486,retail,Japan,2022-01-13,2022-03-04,Won,2622.86,2298.21,230856.78,3482,50.0,1,1,2022Q1
SYN010706,Boris Sturm,Cara Losch,East,GTK 500,Account_0239,services,Germany,2022-02-11,2022-04-27,Lost,2942.25,0.0,142823.24,1602,75.0,0,1,2022Q2
SYN010707,Zane Everman,Dustin Brinkmann,Central,GTK 500,Account_0057,employment,Germany,2022-04-22,2022-06-19,Won,1958.39,1665.04,60161.48,337,58.0,1,1,2022Q2
SYN010708,Niesha Everman,Dustin Brinkmann,Central,GTK 500,Account_0475,employment,Germany,2024-09-11,2024-11-03,Lost,3191.86,0.0,284244.88,4981,53.0,0,1,2024Q4
SYN010709,Boris Sturm,Cara Losch,West,MG Special,Account_0018,retail,Canada,2025-01-20,2025-04-02,Won,3267.98,3248.32,290588.42,5449,72.0,1,1,2025Q2
SYN010710,Zane Cordell,Dustin Brinkmann,Central,GTX Plus Basic,Account_0054,retail,Canada,2023-03-20,2023-05-04,Won,2990.81,2777.39,249299.82,3770,45.0,1,1,2023Q2
SYN010711,Boris Purl,Melvin Marxen,East,GTX Plus Pro,Account_0222,services,Canada,2025-03-27,2025-05-25,Won,3148.99,3034.79,200448.58,2781,59.0,1,1,2025Q2
SYN010712,Gaston Nicholson,Summer Sewald,Central,GTX Basic,Account_0094,software,Germany,2022-03-18,2022-05-21,Lost,3658.47,0.0,156714.35,2436,64.0,0,1,2022Q2
SYN010713,Boris Nicholson,Rocco Neubert,East,GTK Pro,Account_0063,medical,United States,2023-11-24,2024-02-27,Lost,4831.7,0.0,105137.64,800,95.0,0,1,2024Q1
SYN010714,Gaston Nicholson,Summer Sewald,East,MG Emperor,Account_0027,services,Australia,2022-11-14,2023-01-26,Lost,2938.02,0.0,138564.23,1632,73.0,0,1,2023Q1
SYN010715,Niesha Everman,Dustin Brinkmann,East,GTK Pro,Account_0347,marketing,Japan,2025-04-11,2025-05-30,Won,2487.52,2246.95,139468.3,1665,49.0,1,1,2025Q2
SYN010716,Cassey Nicholson,Melvin Marxen,West,GTX Plus Basic,Account_0471,technology,United Kingdom,2023-10-20,2024-01-13,Lost,4182.05,0.0,137519.01,2078,85.0,0,1,2024Q1
SYN010717,Niesha Hillebrand,Rosalind Dwyer,Central,GTK Pro,Account_0423,telecommunications,United States,2024-03-08,2024-06-11,Lost,4441.51,0.0,212409.06,3535,95.0,0,1,2024Q2
SYN010718,Gaston Berthelot,Melvin Marxen,Central,MG Emperor,Account_0411,medical,Germany,2025-01-27,2025-05-09,Lost,5418.94,0.0,298675.91,5178,102.0,0,1,2025Q2
SYN010719,Gaston Grunwald,Rosalind Dwyer,East,MG Special,Account_0240,telecommunications,United States,2022-03-16,,Engaging,3678.22,,157128.26,1765,,0,0,
SYN010720,Jonathan Berthelot,Summer Sewald,Central,MG Advanced,Account_0487,technology,Australia,2025-04-23,2025-07-18,Won,4287.46,3785.38,275160.1,4776,86.0,1,1,2025Q3
SYN010721,Niesha Gauna,Dustin Brinkmann,East,GTK Pro,Account_0057,finance,Germany,2025-03-11,2025-06-30,Lost,4920.8,0.0,207477.38,3439,111.0,0,1,2025Q2
SYN010722,Vernita Cordell,Cara Losch,West,GTX Plus Basic,Account_0469,telecommunications,Australia,2024-02-03,2024-04-25,Won,3904.92,3865.32,201202.97,3311,82.0,1,1,2024Q2
SYN010723,Gaston Nicholson,Summer Sewald,East,GTK 500,Account_0487,retail,Germany,2022-04-04,2022-06-07,Won,3230.57,2905.51,210014.9,3462,64.0,1,1,2022Q2
SYN010724,Kami Herrold,Cara Losch,West,MG Advanced,Account_0106,marketing,Germany,2025-12-27,,Engaging,2890.61,,238509.3,3837,,0,0,
SYN010725,Zane Everman,Dustin Brinkmann,East,MG Emperor,Account_0068,medical,Germany,2023-03-06,2023-06-27,Lost,4327.43,0.0,114665.92,1427,113.0,0,1,2023Q2
SYN010726,Jonathan Marconi,Rocco Neubert,East,GTK 500,Account_0442,retail,Canada,2023-08-03,2023-09-18,Won,3376.45,3429.82,320000.0,5606,46.0,1,1,2023Q3
SYN010727,Kami Herrold,Cara Losch,East,MG Special,Account_0348,software,Canada,2024-10-15,2024-12-24,Lost,4178.48,0.0,180782.42,3023,70.0,0,1,2024Q4
SYN010728,Cassey Marconi,Rocco Neubert,Central,GTX Basic,Account_0375,technology,Australia,2025-03-18,2025-06-22,Lost,4394.75,0.0,202353.98,3549,96.0,0,1,2025Q2
SYN010729,Niesha Hillebrand,Rosalind Dwyer,Central,GTK 500,Account_0297,finance,United States,2023-10-14,2024-01-21,Lost,4741.74,0.0,186443.24,2469,99.0,0,1,2024Q1
SYN010730,Kami Cordell,Summer Sewald,East,GTX Plus Basic,Account_0151,finance,United Kingdom,2023-10-02,2023-12-31,Lost,4983.37,0.0,231361.39,3655,90.0,0,1,2023Q4
SYN010731,Niesha Hillebrand,Rosalind Dwyer,West,MG Special,Account_0163,marketing,Japan,2024-04-06,,Engaging,3594.83,,267587.86,5041,,0,0,
SYN010732,Zane Sturm,Rosalind Dwyer,Central,MG Emperor,Account_0248,entertainment,Australia,2022-11-23,2023-02-13,Won,3285.06,3342.78,159836.67,2252,82.0,1,1,2023Q1
SYN010733,Wilburn Hillebrand,Summer Sewald,Central,MG Advanced,Account_0466,technology,Japan,2025-06-25,2025-09-06,Lost,3802.43,0.0,151443.03,1799,73.0,0,1,2025Q3
SYN010734,Boris Purl,Melvin Marxen,West,MG Advanced,Account_0272,medical,United States,2024-07-10,2024-11-05,Lost,4153.67,0.0,77179.59,171,118.0,0,1,2024Q4
SYN010735,Boris Purl,Melvin Marxen,Central,GTX Plus Basic,Account_0166,finance,Germany,2022-12-19,2023-04-10,Lost,4463.86,0.0,145725.95,1885,112.0,0,1,2023Q2
SYN010736,Jonathan Hendon,Rosalind Dwyer,East,MG Emperor,Account_0134,technology,Australia,2025-01-14,2025-03-30,Won,4193.16,3663.73,135555.04,1731,75.0,1,1,2025Q1
SYN010737,Marty Everman,Rocco Neubert,Central,GTX Basic,Account_0097,telecommunications,United Kingdom,2023-10-07,,Engaging,4005.24,,242017.77,4173,,0,0,
SYN010738,Wilburn Hillebrand,Summer Sewald,East,MG Advanced,Account_0152,medical,Canada,2025-01-18,2025-05-03,Lost,5224.25,0.0,313328.92,5262,105.0,0,1,2025Q2
SYN010739,Boris Nicholson,Rocco Neubert,West,MG Emperor,Account_0448,software,United Kingdom,2024-01-01,2024-03-31,Lost,3419.47,0.0,71915.01,363,90.0,0,1,2024Q1
SYN010740,Gaston Purl,Melvin Marxen,West,GTK Pro,Account_0396,finance,United States,2022-08-22,,Engaging,4520.68,,225294.91,3783,,0,0,
SYN010741,Zane Sturm,Rosalind Dwyer,East,GTX Plus Basic,Account_0396,entertainment,Australia,2025-02-27,2025-05-14,Lost,3685.85,0.0,290798.37,5420,76.0,0,1,2025Q2
SYN010742,Niesha Gauna,Dustin Brinkmann,West,MG Special,Account_0175,retail,United States,2023-08-01,2023-09-29,Won,3228.67,3238.0,295490.23,4803,59.0,1,1,2023Q3
SYN010743,Boris Nicholson,Rocco Neubert,Central,GTK 500,Account_0353,retail,Japan,2023-02-12,,Engaging,2201.23,,77527.77,821,,0,0,
SYN010744,Gaston Berthelot,Melvin Marxen,Central,GTX Plus Pro,Account_0193,technology,Canada,2023-02-20,2023-05-05,Lost,4344.96,0.0,262207.5,4915,74.0,0,1,2023Q2
SYN010745,Boris Hendon,Summer Sewald,East,GTX Basic,Account_0314,services,Australia,2023-07-12,,Engaging,3658.73,,235410.6,4071,,0,0,
SYN010746,Boris Hendon,Summer Sewald,West,MG Special,Account_0470,employment,Japan,2023-11-02,2024-01-07,Won,2265.7,2023.68,159872.9,2001,66.0,1,1,2024Q1
SYN010747,Niesha Everman,Dustin Brinkmann,Central,MG Emperor,Account_0019,telecommunications,Australia,2024-02-21,2024-05-11,Lost,4584.05,0.0,256430.64,4221,80.0,0,1,2024Q2
SYN010748,Jonathan Berthelot,Summer Sewald,West,GTX Plus Basic,Account_0429,technology,United States,2023-02-15,,Engaging,4174.78,,184126.59,2641,,0,0,
SYN010749,Gaston Nicholson,Summer Sewald,East,GTX Plus Pro,Account_0035,finance,United Kingdom,2022-05-24,2022-08-24,Won,4585.61,4390.66,297759.41,5201,92.0,1,1,2022Q3
SYN010750,Corliss Marconi,Rocco Neubert,East,GTX Plus Basic,Account_0079,technology,Japan,2024-04-23,2024-07-05,Lost,4085.7,0.0,171199.45,2620,73.0,0,1,2024Q3
SYN010751,Jonathan Marconi,Rocco Neubert,West,GTK Pro,Account_0249,finance,Australia,2024-07-19,2024-11-01,Lost,4817.73,0.0,263222.65,4694,105.0,0,1,2024Q4
SYN010752,Gaston Grunwald,Rosalind Dwyer,East,MG Special,Account_0067,technology,United States,2024-01-09,,Engaging,4040.82,,211826.03,2991,,0,0,
SYN010753,Corliss Marconi,Rocco Neubert,West,GTX Plus Pro,Account_0461,telecommunications,United Kingdom,2025-12-25,2026-03-21,Lost,4396.61,0.0,243673.83,4102,86.0,0,1,2026Q1
SYN010754,Kary Marconi,Dustin Brinkmann,East,GTX Plus Pro,Account_0134,medical,Japan,2022-02-16,,Engaging,4645.2,,216632.96,3430,,0,0,
SYN010755,Gaston Sturm,Rocco Neubert,East,MG Advanced,Account_0034,telecommunications,United States,2024-10-15,2025-01-11,Lost,4328.17,0.0,187862.84,2950,88.0,0,1,2025Q1
SYN010756,Cassey Marconi,Rocco Neubert,West,GTK 500,Account_0343,finance,United Kingdom,2025-12-22,2026-03-27,Won,4526.19,4600.06,68331.16,392,95.0,1,1,2026Q1
SYN010757,Marty Vinning,Melvin Marxen,East,GTX Plus Pro,Account_0224,services,Japan,2024-03-19,2024-06-01,Won,3400.26,3025.77,152093.72,1880,74.0,1,1,2024Q2
SYN010758,Jonathan Berthelot,Summer Sewald,Central,MG Emperor,Account_0174,services,United Kingdom,2024-07-08,,Engaging,3753.63,,253560.05,4658,,0,0,
SYN010759,Niesha Everman,Dustin Brinkmann,East,MG Advanced,Account_0345,services,Japan,2025-11-21,,Engaging,2506.37,,112360.35,956,,0,0,
SYN010760,Gaston Nicholson,Summer Sewald,East,GTX Basic,Account_0226,finance,Germany,2025-12-08,,Engaging,4792.67,,256397.11,4679,,0,0,
SYN010761,Gaston Purl,Melvin Marxen,East,MG Special,Account_0263,finance,Japan,2025-07-07,2025-10-03,Won,4578.04,4703.99,207305.07,3404,88.0,1,1,2025Q4
SYN010762,Vernita Cordell,Cara Losch,West,GTX Basic,Account_0005,telecommunications,Canada,2023-06-15,2023-09-13,Lost,3705.3,0.0,168046.18,2041,90.0,0,1,2023Q3
SYN010763,Vernita Cordell,Cara Losch,West,MG Special,Account_0017,software,Australia,2025-08-25,2025-11-17,Lost,3703.48,0.0,239097.32,4256,84.0,0,1,2025Q4
SYN010764,Wilburn Grunwald,Cara Losch,East,GTK 500,Account_0220,services,United States,2022-08-22,2022-10-24,Lost,3261.06,0.0,278616.83,5198,63.0,0,1,2022Q4
SYN010765,Kami Herrold,Cara Losch,West,GTX Basic,Account_0016,marketing,Germany,2023-12-10,2024-02-22,Lost,3114.5,0.0,211711.46,3667,74.0,0,1,2024Q1
SYN010766,Anna Herrold,Cara Losch,East,GTK 500,Account_0138,employment,Australia,2024-03-14,2024-05-04,Won,2650.9,2452.81,211611.64,3265,51.0,1,1,2024Q2
SYN010767,Boris Purl,Melvin Marxen,West,GTK Pro,Account_0301,employment,Australia,2024-12-24,2025-02-10,Lost,2635.42,0.0,307944.19,5904,48.0,0,1,2025Q1
SYN010768,Niesha Hillebrand,Rosalind Dwyer,East,GTX Plus Basic,Account_0175,retail,Australia,2022-05-04,2022-07-15,Lost,2822.87,0.0,75054.33,619,72.0,0,1,2022Q3
SYN010769,Gaston Berthelot,Melvin Marxen,Central,GTK Pro,Account_0237,technology,United States,2025-05-25,2025-08-31,Won,4302.12,4026.82,320000.0,5957,98.0,1,1,2025Q3
SYN010770,Boris Hendon,Summer Sewald,West,GTX Basic,Account_0028,technology,Australia,2025-10-07,,Engaging,3743.03,,191230.27,2944,,0,0,
SYN010771,Kary Marconi,Dustin Brinkmann,West,GTX Plus Basic,Account_0247,technology,United States,2023-05-22,2023-08-12,Lost,4158.59,0.0,320000.0,5753,82.0,0,1,2023Q3
SYN010772,Gaston Grunwald,Rosalind Dwyer,East,GTX Plus Pro,Account_0248,employment,Japan,2025-08-01,2025-09-29,Won,2546.75,2365.29,220614.24,3352,59.0,1,1,2025Q3
SYN010773,Corliss Marconi,Rocco Neubert,West,MG Emperor,Account_0117,marketing,Germany,2024-01-10,2024-03-11,Lost,2937.77,0.0,149833.14,1950,61.0,0,1,2024Q1
SYN010774,Vernita Everman,Cara Losch,Central,GTX Plus Pro,Account_0308,marketing,Australia,2024-06-24,2024-08-20,Won,3627.5,3721.36,320000.0,5440,57.0,1,1,2024Q3
SYN010775,Kami Cordell,Summer Sewald,East,GTK 500,Account_0178,entertainment,Germany,2022-03-09,2022-06-04,Won,3392.9,3374.53,188268.46,2844,87.0,1,1,2022Q2
SYN010776,Boris Sturm,Cara Losch,East,GTX Plus Pro,Account_0203,retail,Canada,2025-10-22,2025-12-20,Won,2957.47,2936.58,320000.0,5877,59.0,1,1,2025Q4
SYN010777,Zane Sturm,Rosalind Dwyer,West,GTX Basic,Account_0252,finance,United Kingdom,2023-01-14,2023-05-08,Lost,4458.4,0.0,186892.36,3059,114.0,0,1,2023Q2
SYN010778,Cassey Marconi,Rocco Neubert,West,GTK 500,Account_0043,marketing,Germany,2023-07-27,,Engaging,2657.21,,160124.21,1790,,0,0,
SYN010779,Gaston Sturm,Rocco Neubert,West,MG Special,Account_0446,marketing,United States,2024-08-12,2024-09-30,Won,3373.22,3537.66,224277.24,3910,49.0,1,1,2024Q3
SYN010780,Zane Sturm,Rosalind Dwyer,Central,GTK 500,Account_0196,medical,Australia,2022-06-27,2022-10-09,Won,4767.75,4361.1,303506.59,4972,104.0,1,1,2022Q4
SYN010781,Zane Sturm,Rosalind Dwyer,East,GTX Plus Pro,Account_0140,marketing,United States,2025-07-09,2025-09-12,Won,2674.73,2374.62,191413.85,2878,65.0,1,1,2025Q3
SYN010782,Anna Herrold,Cara Losch,East,GTK Pro,Account_0148,retail,Japan,2025-09-11,2025-11-14,Won,2806.59,2508.87,148018.15,1743,64.0,1,1,2025Q4
SYN010783,Marty Everman,Rocco Neubert,West,GTX Plus Pro,Account_0142,finance,Australia,2022-03-07,2022-06-12,Lost,4561.28,0.0,113168.62,1536,97.0,0,1,2022Q2
SYN010784,Corliss Hillebrand,Dustin Brinkmann,West,MG Special,Account_0197,marketing,United Kingdom,2022-01-01,,Engaging,2589.31,,118576.76,1444,,0,0,
SYN010785,Vernita Everman,Cara Losch,East,GTX Plus Pro,Account_0302,retail,Japan,2024-08-13,2024-10-02,Won,2402.99,2187.16,99143.74,660,50.0,1,1,2024Q4
SYN010786,Marty Vinning,Melvin Marxen,Central,MG Advanced,Account_0384,entertainment,Japan,2024-05-13,2024-07-25,Won,3915.33,3895.16,272039.43,4311,73.0,1,1,2024Q3
SYN010787,Jonathan Berthelot,Summer Sewald,West,MG Emperor,Account_0273,finance,United States,2025-08-12,2025-11-26,Lost,4221.55,0.0,122763.82,1677,106.0,0,1,2025Q4
SYN010788,Boris Hendon,Summer Sewald,East,GTX Basic,Account_0478,services,Japan,2024-11-01,2025-01-15,Lost,2977.0,0.0,173999.59,2838,75.0,0,1,2025Q1
SYN010789,Jonathan Marconi,Rocco Neubert,West,GTX Plus Pro,Account_0173,services,Canada,2025-07-14,2025-09-15,Won,3629.8,3718.7,277806.07,5242,63.0,1,1,2025Q3
SYN010790,Niesha Cordell,Rosalind Dwyer,East,MG Special,Account_0305,telecommunications,Canada,2025-09-27,2025-12-31,Lost,4542.45,0.0,254579.7,4321,95.0,0,1,2025Q4
SYN010791,Niesha Everman,Dustin Brinkmann,West,GTK Pro,Account_0100,finance,Canada,2024-05-14,2024-08-16,Lost,4800.73,0.0,264703.99,4524,94.0,0,1,2024Q3
SYN010792,Anna Herrold,Cara Losch,Central,MG Advanced,Account_0198,retail,United Kingdom,2022-12-15,2023-01-29,Won,2281.02,2363.89,155143.83,2234,45.0,1,1,2023Q1
SYN010793,Marty Vinning,Melvin Marxen,Central,MG Advanced,Account_0334,entertainment,Japan,2025-03-21,2025-06-11,Won,3503.83,2991.71,256984.58,4690,82.0,1,1,2025Q2
SYN010794,Kami Cordell,Summer Sewald,East,MG Emperor,Account_0247,software,Canada,2025-10-13,2026-01-07,Won,3449.53,3533.25,141876.16,2201,86.0,1,1,2026Q1
SYN010795,Kami Herrold,Cara Losch,East,MG Emperor,Account_0068,software,Australia,2022-10-09,2022-12-30,Won,3624.7,3561.35,224069.39,3958,82.0,1,1,2022Q4
SYN010796,Wilburn Grunwald,Cara Losch,East,GTX Plus Pro,Account_0431,employment,Germany,2022-06-17,2022-08-15,Lost,2813.2,0.0,209867.99,3725,59.0,0,1,2022Q3
SYN010797,Niesha Everman,Dustin Brinkmann,East,GTK Pro,Account_0203,telecommunications,United Kingdom,2024-01-23,2024-05-01,Won,3834.34,3907.45,93402.14,1014,99.0,1,1,2024Q2
SYN010798,Wilburn Grunwald,Cara Losch,West,MG Emperor,Account_0425,medical,Australia,2022-03-26,2022-07-04,Lost,4961.42,0.0,308825.33,5218,100.0,0,1,2022Q3
SYN010799,Kary Marconi,Dustin Brinkmann,East,GTX Plus Basic,Account_0328,software,United States,2024-11-11,2025-01-25,Lost,4208.64,0.0,252012.35,4335,75.0,0,1,2025Q1
SYN010800,Gaston Grunwald,Rosalind Dwyer,East,MG Special,Account_0424,medical,Germany,2023-06-27,2023-10-10,Lost,4859.37,0.0,128601.03,1126,105.0,0,1,2023Q4
SYN010801,Marty Marconi,Summer Sewald,West,GTK Pro,Account_0386,finance,Canada,2024-06-27,2024-10-16,Won,4875.64,4399.11,207611.79,3053,111.0,1,1,2024Q4
SYN010802,Cassey Marconi,Rocco Neubert,Central,GTX Plus Pro,Account_0465,medical,Japan,2022-09-04,2022-12-25,Lost,4694.17,0.0,133297.72,1360,112.0,0,1,2022Q4
SYN010803,Gaston Grunwald,Rosalind Dwyer,Central,MG Advanced,Account_0246,software,United States,2025-03-04,2025-05-19,Lost,3523.67,0.0,164091.14,2495,76.0,0,1,2025Q2
SYN010804,Kary Marconi,Dustin Brinkmann,Central,GTK 500,Account_0443,medical,Japan,2022-10-15,2023-01-25,Won,4808.01,4487.73,173730.01,2394,102.0,1,1,2023Q1
SYN010805,Corliss Marconi,Rocco Neubert,Central,GTX Basic,Account_0056,medical,Australia,2024-08-18,2024-12-07,Lost,4852.55,0.0,296374.79,5508,111.0,0,1,2024Q4
SYN010806,Corliss Marconi,Rocco Neubert,Central,GTK Pro,Account_0193,services,Japan,2024-01-03,2024-03-25,Lost,3310.94,0.0,151366.9,2246,82.0,0,1,2024Q1
SYN010807,Kary Marconi,Dustin Brinkmann,West,MG Advanced,Account_0499,software,Australia,2023-08-16,2023-11-10,Lost,3862.76,0.0,97406.36,1195,86.0,0,1,2023Q4
SYN010808,Gaston Sturm,Rocco Neubert,East,MG Advanced,Account_0291,employment,Canada,2023-06-12,2023-08-04,Lost,2599.98,0.0,312680.44,5618,53.0,0,1,2023Q3
SYN010809,Boris Hendon,Summer Sewald,Central,GTX Plus Pro,Account_0444,entertainment,United Kingdom,2023-06-03,2023-08-03,Won,3244.1,3146.17,79969.33,617,61.0,1,1,2023Q3
SYN010810,Niesha Hillebrand,Rosalind Dwyer,Central,MG Emperor,Account_0230,telecommunications,Japan,2025-02-25,2025-06-01,Lost,4349.19,0.0,246680.85,4401,96.0,0,1,2025Q2
SYN010811,Anna Herrold,Cara Losch,West,GTX Plus Basic,Account_0456,entertainment,Germany,2025-10-23,2026-01-04,Won,3580.81,3585.48,247707.41,4335,73.0,1,1,2026Q1
SYN010812,Zane Everman,Dustin Brinkmann,West,GTX Plus Pro,Account_0272,telecommunications,Japan,2024-08-10,2024-11-18,Lost,3816.76,0.0,152495.46,2016,100.0,0,1,2024Q4
SYN010813,Jonathan Everman,Melvin Marxen,West,MG Special,Account_0409,technology,Germany,2023-09-05,,Engaging,4265.82,,242967.31,3964,,0,0,
SYN010814,Boris Sturm,Cara Losch,West,GTX Basic,Account_0276,finance,Germany,2023-11-19,,Engaging,4033.15,,116641.35,1130,,0,0,
SYN010815,Gaston Nicholson,Summer Sewald,East,MG Special,Account_0114,marketing,Germany,2024-10-11,2024-12-13,Won,2346.78,2098.48,118232.58,977,63.0,1,1,2024Q4
SYN010816,Zane Sturm,Rosalind Dwyer,Central,GTK 500,Account_0417,services,Japan,2024-10-21,2024-12-13,Won,3674.34,3388.78,292296.09,5085,53.0,1,1,2024Q4
SYN010817,Gaston Berthelot,Melvin Marxen,West,GTK 500,Account_0188,employment,Germany,2023-02-27,2023-05-06,Lost,3228.43,0.0,320000.0,5624,68.0,0,1,2023Q2
SYN010818,Vernita Everman,Cara Losch,Central,GTX Plus Pro,Account_0414,software,United Kingdom,2025-01-06,2025-03-13,Lost,3433.07,0.0,89096.37,905,66.0,0,1,2025Q1
SYN010819,Marty Everman,Rocco Neubert,West,GTX Plus Basic,Account_0139,retail,United Kingdom,2024-01-05,2024-03-18,Won,2716.71,2334.01,69564.16,318,73.0,1,1,2024Q1
SYN010820,Marty Everman,Rocco Neubert,West,GTX Basic,Account_0217,retail,Australia,2025-03-22,2025-05-30,Won,2368.17,2275.48,108572.45,1416,69.0,1,1,2025Q2
SYN010821,Gaston Grunwald,Rosalind Dwyer,East,MG Special,Account_0091,telecommunications,Japan,2023-04-05,2023-06-28,Lost,4421.82,0.0,204260.7,2945,84.0,0,1,2023Q2
SYN010822,Gaston Purl,Melvin Marxen,West,GTK 500,Account_0253,technology,Australia,2024-09-08,2024-11-27,Won,3897.67,3421.19,121855.82,1096,80.0,1,1,2024Q4
SYN010823,Boris Purl,Melvin Marxen,Central,MG Emperor,Account_0214,services,Australia,2025-03-04,2025-05-12,Lost,2448.49,0.0,93401.42,362,69.0,0,1,2025Q2
SYN010824,Kary Marconi,Dustin Brinkmann,West,MG Advanced,Account_0274,telecommunications,Australia,2024-11-03,2025-01-28,Won,4414.79,4142.35,320000.0,5914,86.0,1,1,2025Q1
SYN010825,Kami Herrold,Cara Losch,Central,MG Advanced,Account_0275,services,Canada,2022-12-10,2023-02-25,Lost,3525.73,0.0,281981.0,5281,77.0,0,1,2023Q1
SYN010826,Corliss Hillebrand,Dustin Brinkmann,East,GTX Basic,Account_0344,marketing,United Kingdom,2025-04-18,2025-06-19,Lost,2811.42,0.0,97274.7,899,62.0,0,1,2025Q2
SYN010827,Boris Nicholson,Rocco Neubert,Central,GTX Plus Pro,Account_0312,marketing,Germany,2022-02-06,2022-04-16,Lost,2867.12,0.0,172729.22,2774,69.0,0,1,2022Q2
SYN010828,Gaston Sturm,Rocco Neubert,East,GTK Pro,Account_0259,retail,Australia,2022-05-27,2022-08-06,Won,2821.17,2608.92,288700.98,5402,71.0,1,1,2022Q3
SYN010829,Niesha Gauna,Dustin Brinkmann,West,MG Special,Account_0417,medical,Canada,2024-01-03,2024-04-17,Lost,5066.46,0.0,195529.29,3268,105.0,0,1,2024Q2
SYN010830,Niesha Gauna,Dustin Brinkmann,West,GTK Pro,Account_0391,retail,Germany,2023-12-13,2024-02-04,Won,2858.98,2671.95,160698.86,2030,53.0,1,1,2024Q1
SYN010831,Niesha Everman,Dustin Brinkmann,West,GTX Basic,Account_0428,retail,Japan,2022-01-03,2022-02-17,Lost,2423.48,0.0,113472.53,1336,45.0,0,1,2022Q1
SYN010832,Jonathan Hendon,Rosalind Dwyer,West,GTX Plus Pro,Account_0171,telecommunications,Japan,2025-12-11,2026-02-28,Lost,4163.98,0.0,222047.17,3480,79.0,0,1,2026Q1
